epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35497,2.31103,0.8311,0.21973,2.4502,2.11208,0.53877,0.46831,0.47442,0.18828,0.60189,0.49296,0.59379,0.47048,2.22156,0.87941,0.13387,1.87163,1.888,0.000647059,0.000647059,0.000647059
2,8.55881,2.09395,0.83806,0.18513,1.48888,1.7514,0.68206,0.46479,0.57032,0.25596,0.68142,0.48955,0.6331,0.56189,2.01349,0.91648,0.11127,1.4958,1.6802,0.00127037,0.00127037,0.00127037
3,13.1623,2.0455,0.77195,0.1693,1.50461,1.63983,0.64679,0.56095,0.61712,0.27726,0.61431,0.53278,0.54432,0.44678,1.91296,0.91825,0.11914,1.55148,1.58309,0.00184969,0.00184969,0.00184969
4,17.2872,1.93399,0.77392,0.15106,1.44903,1.60078,0.68078,0.66834,0.65839,0.30347,0.65719,0.67502,0.60637,0.53591,1.87715,0.77958,0.11136,1.40849,1.61369,0.001802,0.001802,0.001802
5,21.4782,1.88119,0.5977,0.1318,1.26042,1.59089,0.79103,0.71831,0.79329,0.37402,0.81253,0.73592,0.81474,0.7637,1.83463,0.58717,0.0921,1.2002,1.63092,0.001736,0.001736,0.001736
6,25.6819,1.8776,0.81033,0.11849,1.25496,1.60544,0.80338,0.67621,0.77184,0.3858,0.79745,0.71479,0.79911,0.73379,1.78445,0.56761,0.09353,1.19549,1.57044,0.00167,0.00167,0.00167
7,29.78,1.80513,0.69705,0.13642,1.2613,1.57551,0.72143,0.6839,0.74019,0.38068,0.71986,0.72183,0.7752,0.69604,1.7486,0.59122,0.09062,1.25628,1.49915,0.001604,0.001604,0.001604
8,33.9168,1.83207,0.7206,0.14516,1.29608,1.54243,0.75488,0.70485,0.76646,0.38606,0.76094,0.72183,0.78782,0.72988,1.70241,0.57832,0.08938,1.2476,1.47899,0.001538,0.001538,0.001538
9,38.0376,1.69803,0.61596,0.12635,1.22201,1.47646,0.77827,0.71684,0.81946,0.41157,0.7975,0.77465,0.83781,0.7538,1.67501,0.59893,0.0872,1.17238,1.47523,0.001472,0.001472,0.001472
10,42.1995,1.70677,0.62592,0.10699,1.16369,1.50146,0.77417,0.75,0.82903,0.43188,0.78665,0.77899,0.8392,0.79697,1.60208,0.54919,0.08429,1.1503,1.4458,0.001406,0.001406,0.001406
