epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6828,1.18453,0.26156,0.04815,0.76976,1.13154,0.92925,1,0.98926,0.7147,0.92925,1,0.98926,0.98517,1.04185,0.16896,0.01008,0.64247,1.03045,0.00032,0.00032,0.00032
2,25.1992,1.25757,0.2431,0.01363,0.79073,1.12278,0.94769,0.98246,0.99036,0.6665,0.94769,0.98246,0.99036,0.97808,1.12285,0.18214,0.00781,0.66158,1.04849,0.00064401,0.00064401,0.00064401
3,28.4534,1.3159,0.2859,0.04034,0.81142,1.17915,0.95895,0.95637,0.98773,0.65968,0.95309,0.95053,0.9868,0.97429,1.22102,0.19295,0.00664,0.69576,1.08191,0.000905463,0.000905463,0.000905463
4,31.7208,1.26602,0.31602,0.02853,0.82005,1.14569,0.9596,0.93567,0.98612,0.64428,0.95551,0.92982,0.98505,0.96947,1.2179,0.17941,0.00866,0.72338,1.07629,0.00106658,0.00106658,0.00106658
5,34.9682,1.29107,0.24575,0.04861,0.78618,1.18557,0.96496,0.96625,0.98711,0.66695,0.95891,0.95534,0.98614,0.98063,1.15635,0.16893,0.00986,0.73866,1.05453,0.00110538,0.00110538,0.00110538
6,38.2313,1.2677,0.27469,0.04557,0.85721,1.13956,0.9656,0.97076,0.9878,0.68334,0.96624,0.95322,0.9864,0.97635,1.11727,0.17246,0.00971,0.73923,1.04537,0.00101,0.00101,0.00101
7,41.497,1.20917,0.21038,0.01775,0.79463,1.14153,0.95451,0.98177,0.99214,0.70312,0.95451,0.98177,0.99214,0.98595,1.04892,0.16534,0.01027,0.68813,1.02675,0.000704073,0.000704073,0.000704073
8,44.7599,1.15075,0.19345,0.04098,0.771,1.10045,0.9489,0.96491,0.99105,0.70288,0.9489,0.96491,0.99105,0.98658,1.05943,0.15407,0.0104,0.67874,1.02942,0.000428093,0.000428093,0.000428093
9,48.2152,1.14949,0.20311,0.05414,0.74384,1.11301,0.97053,0.96279,0.99145,0.72198,0.97053,0.96279,0.99145,0.98979,1.01191,0.14448,0.01062,0.65355,1.01982,0.000209073,0.000209073,0.000209073
10,51.5859,1.07285,0.20385,0.06474,0.72984,1.08228,0.97333,0.96491,0.99109,0.73191,0.97333,0.96491,0.99109,0.98797,0.99709,0.14317,0.0104,0.64722,1.01688,6.8454e-05,6.8454e-05,6.8454e-05
