image_path,season,pond
datasets/train_on_2025_all\images\GX010664_MP4-0026_jpg.rf.013f1bb913aa7cce8f44eec370687d3a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0027_jpg.rf.724cfb36346fcec21e99e36b8e08f511.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0030_jpg.rf.a733f05673dcad4dfab7c2a9b0428653.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0031_jpg.rf.21e6b88640c8788c9ae311e51c217a93.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0032_jpg.rf.7b9ec0120ab540a3705d364f8916fc1c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0032_jpg.rf.a8877cdfee4c798fbe588a0db2605316.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0032_jpg.rf.d0856926542c08aade4ff77cddeb1779.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0034_jpg.rf.b199566f7a68c7b1220f0a4d15267da1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0034_jpg.rf.ebb32df3d1a98c87b4f45c11c2ab3fbe.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0035_jpg.rf.166cde941faed3eb6cb14e50c487f0ff.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0036_jpg.rf.42895edccd77df9923e4c17e5a62bdf0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0036_jpg.rf.4c139aec080705f321ecbe015224814b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0037_jpg.rf.83bdfea8ef24d8cd9aa86aa7ac828ca8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0038_jpg.rf.947f69b61906f0f63df04c2183a91934.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0039_jpg.rf.2db375ea0ec389c5d644ea589d848ed5.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0040_jpg.rf.eb3abc53941098561893bb700ee284e5.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0042_jpg.rf.f09255da3a3b30cdc97af4d351d92666.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0043_jpg.rf.9b3a06a280ba259fb528212d40bae4b0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0043_jpg.rf.ba2ab4ef9dcc13fc74001d093a672cf0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0044_jpg.rf.7db7507c6aa587440d07f58deb9390bd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0044_jpg.rf.838e1bd5c617331fd9adee0c981975f6.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0045_jpg.rf.c8d739d56ac4a183c4486d25701b5e9c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0045_jpg.rf.cd33e62a2e326f1e8d88c02b3cebab12.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0046_jpg.rf.525af9e46a3a8dded556d3bd8e868a12.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0046_jpg.rf.928ba1555bfc55fb4355874ffd9bcede.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0048_jpg.rf.2a89c3cf9bc3161369d8248490b31ceb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0048_jpg.rf.b2d6d85b710b934adf2da8b2a5cd5ade.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0051_jpg.rf.3bd49c03c6d659c1a9b25fbfe57179e9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0052_jpg.rf.b9eb3e34c346142c1d192b9e2ca70e54.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0052_jpg.rf.c93919d5c669827ba932d3fa47250758.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0053_jpg.rf.0878a9b8156d04e3dae4474b73d947fb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0053_jpg.rf.13c305ab0b52c9b2e4c18d0a86098bb8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0054_jpg.rf.44b342c758bfd84e4d3301ca6dfbe6cd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0054_jpg.rf.74ba8b3260dd52bf05aeedfeffa398f1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0055_jpg.rf.b7b7b2b43763f005b106eb811db0522f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0056_jpg.rf.38b49449b4aef7ebe98ac241672699eb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0056_jpg.rf.591700068f32ac64bd854ea0e00d5f22.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0057_jpg.rf.45b9f0af7a9bcb2ae19121dbb6dfe0a0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0059_jpg.rf.6d32fc68087320f1e760d352861b6fa1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0061_jpg.rf.1ddf1a6703c5c6516ad9152656b8450c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0061_jpg.rf.2602c2ee14d8b3a048c8ae6e2e2acafe.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0062_jpg.rf.c8e617920df78f9cba28e4d6fdf8c8c6.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0063_jpg.rf.d01fe91db8b9f75290948cc7cc50c760.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0064_jpg.rf.23934c626427d18bf199d97b6422a3fb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0066_jpg.rf.ee03bf7d762a50eb3e4f3aee2e3675b1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0069_jpg.rf.4495c999ed01c75daf249fb607633b32.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0069_jpg.rf.e48f0c58f4c3e78b4f3434ed7a2884a6.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0072_jpg.rf.03bb667b6766896dbc8ee38fc8495027.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0073_jpg.rf.ff7ff3312c62ca144794838030aa808c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0074_jpg.rf.5a9cf23e848a7a8868748137515df600.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0076_jpg.rf.b12e872043dbee38d0d3ffbb857f26ab.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0077_jpg.rf.89cb082eeba859040c35896027435f96.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0079_jpg.rf.2f51dc1253c50faa758ffc167ea60433.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0079_jpg.rf.4dd9222c901b6466e67a2d0835055a42.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0080_jpg.rf.342316ff88aa197070dff537ec348494.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0081_jpg.rf.9b98d08dde4699fd8d180e901d327028.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0082_jpg.rf.d81ffef8b2b93fdb52c1aae78811edcf.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0083_jpg.rf.0c846dcfc99e20e365f3929017a59fe1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0083_jpg.rf.9aff1680effc6d9a20394e1ad67914cd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0084_jpg.rf.354738c71897cfb319677245d8204d21.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0085_jpg.rf.b83c1bd5d8e2a54d2d0b1711015c5bf5.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0085_jpg.rf.e01ce4c22dc6a7c773c1207a43efd03f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0087_jpg.rf.8a8b85bddca5b951f23f333887a14e04.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0089_jpg.rf.e8d832c466c21cd9f623b9ebe5756e56.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0096_jpg.rf.b69fd4eb507e90c3694734f07462a655.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0097_jpg.rf.30ddf802f9cef65f74df8536e08dd4d5.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0097_jpg.rf.4103e3b90cbbadd996a4ab1247c57bc9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0099_jpg.rf.1c9eadfbdf7290ec6e815c0799ed4788.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0099_jpg.rf.24b4e177954f75353fb1a2e32f03d4ff.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0099_jpg.rf.391b5df9ba0ed8c4305f072faafdad86.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0101_jpg.rf.fbbddac3cf611ccd749e86361bdff021.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0102_jpg.rf.4e872ee064e022d68a14ea8a3ea13b61.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0102_jpg.rf.b08312a2a6beb58d484a463e114e90f0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010664_MP4-0103_jpg.rf.c45db5a481016102ec73a91234cd98f8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0012_jpg.rf.b6d399bad362a005b52d85a36946930e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0021_jpg.rf.342f2f770b83c6e0a4ccc9a380ce386e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0021_jpg.rf.e5806e4bf7b94c36725374d9ecdb7645.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0024_jpg.rf.aa4d80af8c6603667718c4c4c0dc6589.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0026_jpg.rf.0ba0d6d8506d07b8bfebce33646036b7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0026_jpg.rf.419b1a60f7223ca419a861b15cf41a7a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0027_jpg.rf.4af315f4a69d88a7e1293f0e3e3b8ce3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0027_jpg.rf.7e44c14da56690f78b4771f202c0f867.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0059_jpg.rf.652743b7c7226586b990fff2e5c35910.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0063_jpg.rf.ba6d0da80d0ef0bf1ceb5037a7c238e0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0087_jpg.rf.37bea2f8fc3b279ccf0bce6b34bdc596.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0088_jpg.rf.5c525a0fc26c71dca5cd32c19f9a319b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0089_jpg.rf.f4e8db4583a4642a9f2d4c3ddbdb6103.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0091_jpg.rf.fe26edd525ea7504ac1942be3e1967b9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0092_jpg.rf.58781171b7ed3094ea8f5bc4e0e49a75.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0092_jpg.rf.80cba303c613e470c43e05cbd62e66f7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0099_jpg.rf.68da4d0d7ee75338594472166a43f893.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0100_jpg.rf.5e0da56a19b03b526a83ae4b4a0555dd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0102_jpg.rf.0c7b5292bdb66b878c54eab0351b850f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0102_jpg.rf.3f702ad7f67dd42c14bd7c7d1930bbf9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0102_jpg.rf.cdbc439f6f8e7600a24ea9a6d00588c2.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0108_jpg.rf.b2c7dcd0ffefb0fefe89673e7b296b99.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0109_jpg.rf.9fd1499c70b70ecb0127c12a30e67a11.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0110_jpg.rf.81e595d4e4917d1b1a3c649e805fea15.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0110_jpg.rf.99800ff25d1b188c225ff44b872df47f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0114_jpg.rf.a5e0ed3c2e169842516b075a83a1335f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0115_jpg.rf.21fa82305642480e4dea481692f1fe66.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0115_jpg.rf.ace7d22ef4e2022b8d9960e510b6b6f4.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0116_jpg.rf.50e082fea34ac7c7389c48ab09cb05a1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0128_jpg.rf.60c8aec1d00c70e12a8c6a21fc7c91a3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0129_jpg.rf.0183f8cbb64b8610d89922b5794dbcf3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0130_jpg.rf.c54d5a5ce439730f8c81c29ac54a8bfb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0133_jpg.rf.11f961eed585765b5ced3ad0bdf7007c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0133_jpg.rf.4d78612c20025b75ecfd75c3d97cd906.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0134_jpg.rf.22645c83f16ad0fab3c00559ae4ce7a0.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0135_jpg.rf.8f8280a9921992b6846aad4143d2f5d3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0135_jpg.rf.a67e59dabd6b23ef1153ed18978df9a4.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0136_jpg.rf.e899d5e6870e48c20ce0c8a8c6b85670.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0137_jpg.rf.bcc0d3167caa3008c5ab41d497a755fd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0138_jpg.rf.e0a496e1cf85b79b34be129f00e8e738.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0139_jpg.rf.0fd45edf056321c1c65b8771e9efeb4e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0140_jpg.rf.1c49b7421381dbf1464c265c901be303.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0140_jpg.rf.faba8d2bd761a83b4874ee3a5881126b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0152_jpg.rf.6ef7ee077fec852b588a18c9381d99a8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0171_jpg.rf.94b38e93e0033cf29489d60ce98a1b7d.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0171_jpg.rf.aa668009e06093c7f5b679fa928ee84b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0189_jpg.rf.141f93edee08d1217407f95246071f23.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0189_jpg.rf.63548aa9017076ec478a2ca1b1b322d7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0189_jpg.rf.ac2c945f0fd6e3d3a822e896659a0ae8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0190_jpg.rf.05fcbec8da10c1c2869c21f20ac7bf30.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0190_jpg.rf.fbac7ff1462b35a537b12d5fcf9657f9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0193_jpg.rf.3882d4c5ba00f711e6f1712d42469373.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0193_jpg.rf.a5c8a206915c0b0a4e226bad063f31a7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0193_jpg.rf.de34a33540e2e12f2e00011ec7378a7c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0194_jpg.rf.97663c03bb5d064c0d5056360c61b70e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0194_jpg.rf.dd56a130fa04de36c550e5f34e94e12a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0195_jpg.rf.5547cb3e00bc34ccfe06304feeae1f4e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0196_jpg.rf.1bc91ddca75ecbe60f3502e22340a53d.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0196_jpg.rf.9adeffad62a0525e4ed7d6f8fca452da.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0197_jpg.rf.156b3e2b80b7b04683216d4a1985e8b3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0197_jpg.rf.67bf2927dd48b2663f800dd540460546.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0199_jpg.rf.f57dff5dc4bfee11ae0a6517c4bab2f5.jpg,2025,mixed
