image_path,split
datasets\train_on_2025_all\val\images\frame_00023_jpg.rf.23dd43f6a0025cce3c7a8d1712fdbf5a.jpg,val
datasets\train_on_2025_all\val\images\frame_00080_jpg.rf.101b41282c551c29546fbdd51fdbeb19.jpg,val
datasets\train_on_2025_all\val\images\frame_00139_jpg.rf.58ddcb5b1ec512d1c2a6acbe9424923b.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0198_jpg.rf.da126e10c116b5f22a8eca28f42f8830.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.4bd57d75286e8e0e214a12be1b88193d.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0009_jpg.rf.194361c01a17595bbd4f5ddb7c81dc92.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0146_jpg.rf.77de6c08320ab4e50bd67d7ac826e35b.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0337_jpg.rf.35fd43e049dd6854c92995b6921b1ccc.jpg,val
datasets\train_on_2025_all\val\images\GX010668_MP4-0010_jpg.rf.db72f1de4c57e31914b71840ef2a7b91.jpg,val
datasets\train_on_2025_all\val\images\GX010668_MP4-0051_jpg.rf.f473773a9346d5ce61a027f98ffa3bfd.jpg,val
datasets\train_on_2025_all\images\frame_00007_jpg.rf.2c644dbeadfda868a6c6d6ca5c29f6eb.jpg,train
datasets\train_on_2025_all\images\frame_00011_jpg.rf.d9e9b77024a2390957bf5e6dd275eaf9.jpg,train
datasets\train_on_2025_all\images\frame_00014_jpg.rf.9b9bd34dc165431135ddc39fd6827b44.jpg,train
datasets\train_on_2025_all\images\frame_00016_jpg.rf.ee599fdcbb1e8f33e7230583b9c24776.jpg,train
datasets\train_on_2025_all\images\frame_00030_jpg.rf.4cc027641512f1bbedb7822f5844e12c.jpg,train
datasets\train_on_2025_all\images\frame_00030_jpg.rf.e619d510dc71d867f4d2806431669b75.jpg,train
datasets\train_on_2025_all\images\frame_00031_jpg.rf.5cd00e1d69a0ea6e1eefdf7614bc210e.jpg,train
