image_path,season,selection_order,distance_at_selection
datasets/train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,2025,1,3.0610141277313234
datasets/train_on_2025_all\images\GX010665_MP4-0216_jpg.rf.ff97c32aad6a49aeb3da458d7e0d0698.jpg,2025,2,0.08018215745687485
datasets/train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.4bd57d75286e8e0e214a12be1b88193d.jpg,2025,3,0.29343941807746887
datasets/train_on_2025_all\val\images\GX010665_MP4-0201_jpg.rf.f08237b7a1cd9471ca7e44e85896f4b2.jpg,2025,4,0.6380214095115662
datasets/train_on_2025_all\images\GX010665_MP4-0217_jpg.rf.368f015f501164054a4d9ab7714e14fe.jpg,2025,5,0.10342087596654892
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1510087345131349beb283e1722503cd.jpg,2025,6,0.3458920419216156
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1ec1782021a8fdb0d44954fcf9604ea1.jpg,2025,7,0.0
datasets/train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.8a9ac800a2be00ba4a6db5a5cd5c6296.jpg,2025,8,0.05703764781355858
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.2a90c08cc055c9dec247650a33b8d67e.jpg,2025,9,0.03386005759239197
datasets/train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.e2002a9318e1d506b8faadfbca58652a.jpg,2025,10,0.0713048204779625
datasets/train_on_2025_all\images\frame_00108_jpg.rf.75a6d29f4ca6297ddb6dc68469f61cf7.jpg,2025,11,4.529018878936768
datasets/train_on_2025_all\val\images\GX010665_MP4-0241_jpg.rf.244c945f5cf7ac04c9521da67e143662.jpg,2025,12,3.21529221534729
datasets/train_on_2025_all\images\frame_00156_jpg.rf.20184709c71069625c651ae2946304c4.jpg,2025,13,2.816652774810791
datasets/train_on_2025_all\images\GX010664_MP4-0072_jpg.rf.da78ebf99222f60e4e9c115fe109a133.jpg,2025,14,2.814978837966919
datasets/train_on_2025_all\images\frame_00005_jpg.rf.036a737ef8862a76891fa078924bebd0.jpg,2025,15,2.484017848968506
datasets/train_on_2025_all\images\GX010668_MP4-0008_jpg.rf.bfe335ef5e8e8ab498cacce29a552436.jpg,2025,16,2.413743257522583
datasets/train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.9afde6c6ff8161c779b7aa014c630577.jpg,2025,17,2.2839062213897705
datasets/train_on_2025_all\images\GX010666_MP4-0006_jpg.rf.7b6ead4d7774b0916f05b69b5e8c84c9.jpg,2025,18,2.1887340545654297
datasets/train_on_2025_all\images\frame_00093_jpg.rf.ef88df0205a9e04078fbea973180aabb.jpg,2025,19,2.17789888381958
datasets/train_on_2025_all\val\images\GX010666_MP4-0282_jpg.rf.bea18040b1063c0fc8b0f8f5a1809326.jpg,2025,20,2.0888607501983643
datasets/train_on_2025_all\images\frame_00212_jpg.rf.6084b8e5babf78d80403e0fe443f8831.jpg,2025,21,2.0649404525756836
datasets/train_on_2025_all\images\frame_00028_jpg.rf.ca671a6b78e864c17c1444fdf695dfb2.jpg,2025,22,2.034444570541382
datasets/train_on_2025_all\images\GX010667_MP4-0037_jpg.rf.5ed362c53f434220bbae869846478248.jpg,2025,23,1.9893935918807983
datasets/train_on_2025_all\val\images\GX010665_MP4-0256_jpg.rf.347aefc78a4b4e49222993bd4c07411e.jpg,2025,24,1.9741250276565552
datasets/train_on_2025_all\images\frame_00087_jpg.rf.0defcf7f8e9bca37291d6b0a8683a7b1.jpg,2025,25,1.9527020454406738
datasets/train_on_2025_all\images\frame_00052_jpg.rf.d6aff11d03cac34caa3d17ae7f0b8593.jpg,2025,26,1.9194254875183105
datasets/train_on_2025_all\images\frame_00116_jpg.rf.a98bec3a4f672c9b1f94cc8b5003d50c.jpg,2025,27,1.8890211582183838
datasets/train_on_2025_all\images\frame_00017_jpg.rf.af5669c1e03e8911783bbead0f991dd5.jpg,2025,28,1.8818879127502441
datasets/train_on_2025_all\images\frame_00142_jpg.rf.610f8a54ba0571a0093de1cf30f65fc9.jpg,2025,29,1.8810832500457764
datasets/train_on_2025_all\images\frame_00085_jpg.rf.f2f0bb961fb7a62c4d472356c8f06666.jpg,2025,30,1.8504801988601685
datasets/train_on_all\images\GX010122_169_2025-jpg_gamma_jpg.rf.cb817f2e8b57e6c21935f842512fde00.jpg,2025,31,1.8381383419036865
datasets/train_on_2025_all\images\GX010666_MP4-0240_jpg.rf.4381ab9b93fd492910f3cc1271da97c1.jpg,2025,32,1.8295899629592896
datasets/train_on_2025_all\images\frame_00088_jpg.rf.34d942644c8b56ace203e826c58a244b.jpg,2025,33,1.8224228620529175
datasets/train_on_2025_all\images\GX010665_MP4-0218_jpg.rf.ed042a0f0a6bf65f2bc8c0733add61b4.jpg,2025,34,1.7873318195343018
datasets/train_on_2025_all\images\frame_00129_jpg.rf.3f0ddf4fcaa5c0bdcf8b1b5fc2fbfac3.jpg,2025,35,1.7730059623718262
datasets/train_on_2025_all\val\images\GX010666_MP4-0176_jpg.rf.d62f481b3eb74866ba772dbbdbfd9f7e.jpg,2025,36,1.7633224725723267
datasets/train_on_2025_all\images\GX010664_MP4-0039_jpg.rf.2db375ea0ec389c5d644ea589d848ed5.jpg,2025,37,1.7547982931137085
datasets/train_on_2025_all\images\frame_00067_jpg.rf.0bda41b47fa60b550a6f2ebc64bd73ce.jpg,2025,38,1.754583477973938
