image_path,selection_order,distance_at_selection
datasets/train_on_2025_all\images\frame_00084_jpg.rf.86731da5195f165e41d1b5b1245dd00c.jpg,1,0.890423650797186
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1510087345131349beb283e1722503cd.jpg,2,0.6525655538095789
datasets/train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.cc3401eab550f515237c4a149337f7c6.jpg,3,0.6455992385556031
datasets/train_on_2025_all\images\GX010664_MP4-0032_jpg.rf.7b9ec0120ab540a3705d364f8916fc1c.jpg,4,0.6325723709320413
datasets/train_on_2025_all\images\frame_00156_jpg.rf.20184709c71069625c651ae2946304c4.jpg,5,0.6186523731887188
datasets/train_on_2025_all\val\images\GX010666_MP4-0176_jpg.rf.d62f481b3eb74866ba772dbbdbfd9f7e.jpg,6,0.5777542035291027
datasets/train_on_2025_all\images\frame_00004_jpg.rf.d1eb9dec04905336e1852cb870754a62.jpg,7,0.5452811790436126
datasets/train_on_2025_all\images\GX010664_MP4-0097_jpg.rf.75e32ff5f5f4dc8e8fe9139a52247baa.jpg,8,0.5394029953988618
datasets/train_on_2025_all\images\frame_00208_jpg.rf.06de581d054804e19578718743165b6a.jpg,9,0.532579789046083
datasets/train_on_2025_all\images\frame_00052_jpg.rf.de6d9bc3a82476c22bbce64a3930a770.jpg,10,0.5254418284826324
datasets/train_on_2025_all\images\GX010665_MP4-0257_jpg.rf.807ed4e24728f0d1b080153c9b6e52e4.jpg,11,0.5235189802288936
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.c4503222feffe11366cec7c3faf0e871.jpg,12,0.517511104852097
datasets/train_on_2025_all\images\frame_00028_jpg.rf.ca671a6b78e864c17c1444fdf695dfb2.jpg,13,0.5113435930596434
datasets/train_on_2025_all\images\frame_00088_jpg.rf.887f60abf987023f3313d57adf26e9e0.jpg,14,0.5011259357743024
datasets/train_on_2025_all\val\images\GX010665_MP4-0112_jpg.rf.522599c368b90b249eb4c5cc0e82e090.jpg,15,0.49693396258414596
datasets/train_on_2025_all\images\frame_00104_jpg.rf.8b3a462cac5c6f9f0aa05a23dbfe9ac3.jpg,16,0.49638987025795445
datasets/train_on_2025_all\images\GX010666_MP4-0006_jpg.rf.7b6ead4d7774b0916f05b69b5e8c84c9.jpg,17,0.492399060653026
datasets/train_on_2025_all\images\frame_00079_jpg.rf.4ff520ddb3af10ad0b92b5954946d874.jpg,18,0.4888593722741131
datasets/train_on_2025_all\images\GX010667_MP4-0037_jpg.rf.f4e733b64f963b806dca020f5ff20ffe.jpg,19,0.4866143078815505
datasets/train_on_2025_all\images\frame_00116_jpg.rf.a98bec3a4f672c9b1f94cc8b5003d50c.jpg,20,0.48351214623597255
datasets/train_on_2025_all\images\frame_00017_jpg.rf.af5669c1e03e8911783bbead0f991dd5.jpg,21,0.48116652167200186
datasets/train_on_2025_all\images\frame_00046_jpg.rf.8c48d16a50420f9c686fe49bbfb48d75.jpg,22,0.4776037066300632
datasets/train_on_2025_all\images\frame_00002_jpg.rf.c133fc4781eee7587233f43432fbbbf5.jpg,23,0.47695243039060026
datasets/train_on_2025_all\images\GX010666_MP4-0306_jpg.rf.86fa0ac0caf195213ce0fae4faa896ea.jpg,24,0.47296905507686066
datasets/train_on_2025_all\images\GX010666_MP4-0213_jpg.rf.3e01db7f7fb7a7fa3a81aeda45283943.jpg,25,0.4723073133263697
datasets/train_on_2025_all\images\frame_00006_jpg.rf.89372a8bf7fe3d7090f5e9d20f446fd1.jpg,26,0.4609201627160391
datasets/train_on_2025_all\images\GX010666_MP4-0240_jpg.rf.4381ab9b93fd492910f3cc1271da97c1.jpg,27,0.4604070248101089
datasets/train_on_2025_all\images\frame_00067_jpg.rf.0bda41b47fa60b550a6f2ebc64bd73ce.jpg,28,0.4514876173143834
datasets/train_on_2025_all\images\GX010664_MP4-0039_jpg.rf.2db375ea0ec389c5d644ea589d848ed5.jpg,29,0.4471125523775624
datasets/train_on_2025_all\images\frame_00037_jpg.rf.a984f285d5a95f79aecb04db41693455.jpg,30,0.443277426106636
