image_path,split
datasets\train_on_2025_all\val\images\frame_00005_jpg.rf.3ef123aca7cf5c9a2ed5ef4c0a45a982.jpg,val
datasets\train_on_2025_all\val\images\frame_00017_jpg.rf.4caa4bdc028ec295e4a6581f33b71ded.jpg,val
datasets\train_on_2025_all\val\images\frame_00019_jpg.rf.2282dfd4b3e15a87cbe87c2c3b9e43ef.jpg,val
datasets\train_on_2025_all\val\images\frame_00023_jpg.rf.653672710b04ab9e9b1d453db06954f8.jpg,val
datasets\train_on_2025_all\val\images\frame_00025_jpg.rf.047c08acd90f273eabff6c6289aaf987.jpg,val
datasets\train_on_2025_all\val\images\frame_00028_jpg.rf.8d95d11c39395c0eff586537cdad8272.jpg,val
datasets\train_on_2025_all\val\images\frame_00030_jpg.rf.04dbb7f2d6dd06e5dfe784b9fbce6494.jpg,val
datasets\train_on_2025_all\val\images\frame_00030_jpg.rf.8c42e651a39837097e313864fbe724f0.jpg,val
datasets\train_on_2025_all\val\images\frame_00038_jpg.rf.156d4aeab70038ccdeedb8c2aa1ddbcd.jpg,val
datasets\train_on_2025_all\val\images\frame_00043_jpg.rf.b2ff059ec76db9faed5a510c1e481bbe.jpg,val
datasets\train_on_2025_all\val\images\frame_00047_jpg.rf.433845c65c7fb3331ee9129330ba949d.jpg,val
datasets\train_on_2025_all\val\images\frame_00052_jpg.rf.580ac9a238114c53e24ff9dfe438e040.jpg,val
datasets\train_on_2025_all\val\images\frame_00055_jpg.rf.742ad2b53f7612f78cd4ffa34a97abf8.jpg,val
datasets\train_on_2025_all\val\images\frame_00059_jpg.rf.2b707261cba4ed4365531cc74d24df93.jpg,val
datasets\train_on_2025_all\val\images\frame_00064_jpg.rf.d25b3c6ce7f00a111d6af36ebd1795a7.jpg,val
datasets\train_on_2025_all\val\images\frame_00067_jpg.rf.4fd6cc9a83f2385901c7d5cacf053aa7.jpg,val
datasets\train_on_2025_all\val\images\frame_00074_jpg.rf.1011902a7f39134d66bdbf21fb027471.jpg,val
datasets\train_on_2025_all\val\images\frame_00078_jpg.rf.2533274afcc6ebb0be9ab8b55f738016.jpg,val
datasets\train_on_2025_all\val\images\frame_00078_jpg.rf.2a5d42ad2885cd3409f92077b46bb640.jpg,val
datasets\train_on_2025_all\val\images\frame_00080_jpg.rf.9f44c67e6a40ca4afd17a560c0a9ebd0.jpg,val
datasets\train_on_2025_all\val\images\frame_00082_jpg.rf.8760bad924d9fc6a30511a8d358d8a93.jpg,val
datasets\train_on_2025_all\val\images\frame_00082_jpg.rf.cd65738bbb2d2df68e1570cfa6f4b2fe.jpg,val
