image_path,uncertainty_score,selected_rank
datasets/train_on_2025_all\images\frame_00137_jpg.rf.da1561ff61e1185b2740b66e4cf28ed8.jpg,1.0,1
datasets/train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,0.9031405076384544,2
datasets/train_on_2025_all\images\frame_00156_jpg.rf.20184709c71069625c651ae2946304c4.jpg,0.8880558907985687,3
datasets/train_on_2025_all\val\images\GX010665_MP4-0099_jpg.rf.222dbad1672907a88e814844be3ee105.jpg,0.8243425190448761,4
datasets/train_on_2025_all\images\GX010666_MP4-0006_jpg.rf.7b6ead4d7774b0916f05b69b5e8c84c9.jpg,0.8139276206493378,5
datasets/train_on_2025_all\images\frame_00137_jpg.rf.eb9b7bb2f8d7b87285335e31910d68fb.jpg,0.822577714920044,6
datasets/train_on_2025_all\images\GX010665_MP4-0219_jpg.rf.f8f5dec2b39549188238cb8f2c12bd76.jpg,0.9692667424678802,7
datasets/train_on_2025_all\images\GX010664_MP4-0062_jpg.rf.b3ed78c3614972a9e9e3345d6c54656a.jpg,0.8348925709724426,8
datasets/train_on_2025_all\images\frame_00100_jpg.rf.5ecfc4d0e62910ba44076cfc45325e46.jpg,0.8771573752164841,9
datasets/train_on_2025_all\images\frame_00142_jpg.rf.610f8a54ba0571a0093de1cf30f65fc9.jpg,0.9343286976218224,10
datasets/train_on_2025_all\images\GX010665_MP4-0258_jpg.rf.1f2a37c59f8b8c4f8be3ead0b2e609b1.jpg,0.8163024336099625,11
datasets/train_on_2025_all\val\images\frame_00075_jpg.rf.ab9ef0e7149a7db3d36a840215742429.jpg,0.8552075177431107,12
datasets/train_on_2025_all\images\GX010666_MP4-0126_jpg.rf.30f96019850c0c2e4efc0317b535a06a.jpg,0.8481623977422714,13
datasets/train_on_2025_all\val\images\frame_00112_jpg.rf.c15a7c31771b10308570f6a149db3b4a.jpg,0.7912742793560028,14
datasets/train_on_2025_all\images\frame_00104_jpg.rf.1b82511f026d2ee9719302eca42115f6.jpg,0.8788565471768379,15
datasets/train_on_2025_all\images\GX010666_MP4-0283_jpg.rf.ab26b4198daea1f5ebc1ed411cfc8b65.jpg,0.9975074767135084,16
datasets/train_on_2025_all\images\frame_00005_jpg.rf.ce60b95c400ab73280a4d974431fbdf8.jpg,0.8631591200828552,17
datasets/train_on_2025_all\images\frame_00075_jpg.rf.a62d166cf4e2df0444f73c8a8a6c32c0.jpg,0.8213043212890625,18
