image_path,season,split
datasets/train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.25d59f73966a83bce9ecc63d18c4e490.jpg,2024,all
datasets/train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.38f5a8656f8d3b3f9ea2fac383ca0ed2.jpg,2024,all
datasets/train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.4c1daa17c534df73726f184ffab7b9d7.jpg,2024,all
datasets/train_on_all\images\GX010065_101_1589-jpg_gamma_jpg.rf.f569bdc1bbd202b0e27af457db2515d1.jpg,2024,all
datasets/train_on_all\images\GX010065_101_1589-jpg_gamma_jpg.rf.fc6655d238247dafae37c1754deac4cd.jpg,2024,all
datasets/train_on_all\images\GX010065_102_1623-jpg_gamma_jpg.rf.178de9ce195060446cab859ceabc7596.jpg,2024,all
datasets/train_on_all\images\GX010065_102_1623-jpg_gamma_jpg.rf.6e8658a80509668ace462fe16368420c.jpg,2024,all
datasets/train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.7a1042006067e858e8c7f6d49273d0f9.jpg,2024,all
datasets/train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.ad563c9d92e688622a05e342126cd326.jpg,2024,all
datasets/train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.c0dce349d8c2ed01b04f0fbcfe114650.jpg,2024,all
datasets/train_on_all\images\GX010065_104_1680-jpg_gamma_jpg.rf.31c201aeca39e0e70e831cf86919a945.jpg,2024,all
datasets/train_on_all\images\GX010065_104_1680-jpg_gamma_jpg.rf.c37681c6ecf31461f1fa1a2be985ae59.jpg,2024,all
datasets/train_on_all\images\GX010065_104_1680-jpg_gamma_jpg.rf.d421c11ba779d2bedd6ffe439aefdb80.jpg,2024,all
datasets/train_on_all\images\GX010065_105_1695-jpg_gamma_jpg.rf.b0fb84611844867902d3a1b2973d1def.jpg,2024,all
datasets/train_on_all\images\GX010065_105_1695-jpg_gamma_jpg.rf.c1d00ad1eedbb461bc446e39ed9767ae.jpg,2024,all
datasets/train_on_all\images\GX010065_106_1735-jpg_gamma_jpg.rf.048cc3984948c7d5f3254150f9e27a42.jpg,2024,all
datasets/train_on_all\images\GX010065_106_1735-jpg_gamma_jpg.rf.8aaa601ef023ce743def0357a2ce4b19.jpg,2024,all
datasets/train_on_all\images\GX010065_106_1735-jpg_gamma_jpg.rf.c5bb641dd87120953bb173507548164f.jpg,2024,all
datasets/train_on_all\images\GX010065_10_288-jpg_gamma_jpg.rf.82078d18fe234b914d2efe68c2a69a51.jpg,2024,all
datasets/train_on_all\images\GX010065_10_288-jpg_gamma_jpg.rf.ad466ff61c81df37abc474d32d6085e0.jpg,2024,all
datasets/train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.74484f4cccb992d4cd5c3f42a4abafc7.jpg,2024,all
datasets/train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.a3c09eaeaeba5b0db290366006e81bfd.jpg,2024,all
datasets/train_on_all\images\GX010065_111_1801-jpg_gamma_jpg.rf.c3fb8be8aac24044c73f6042f5a5337a.jpg,2024,all
datasets/train_on_all\images\GX010065_112_1806-jpg_gamma_jpg.rf.47e50160b3f2dbd540948edcf39f5258.jpg,2024,all
datasets/train_on_all\images\GX010065_112_1806-jpg_gamma_jpg.rf.713217dbcc0c0f4fc680b79ba44e871d.jpg,2024,all
datasets/train_on_all\images\GX010065_113_1811-jpg_gamma_jpg.rf.173530a83acaf21c4a75d4894b75ae55.jpg,2024,all
datasets/train_on_all\images\GX010065_113_1811-jpg_gamma_jpg.rf.f546b3fa4578e1573f935117a2087fc0.jpg,2024,all
datasets/train_on_all\images\GX010065_114_1817-jpg_gamma_jpg.rf.1bbe6fe257a71016f499bd1c005098a7.jpg,2024,all
datasets/train_on_all\images\GX010065_114_1817-jpg_gamma_jpg.rf.e5b137bfc21f72fdc82840a013de6bb7.jpg,2024,all
datasets/train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.5d1990361ebd940b8c664254946cce59.jpg,2024,all
datasets/train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.7ee7e73d4a424f507961e877018c09e7.jpg,2024,all
datasets/train_on_all\images\GX010065_115_1826-jpg_gamma_jpg.rf.b3569ee8eccd8ff8fcf38df646af401d.jpg,2024,all
datasets/train_on_all\images\GX010065_116_1837-jpg_gamma_jpg.rf.7fafb9db01f8ad3e3db5bf0c494de5d2.jpg,2024,all
datasets/train_on_all\images\GX010065_116_1837-jpg_gamma_jpg.rf.b36534459718d6cdf19cd20bb16d542e.jpg,2024,all
